Rank_trad,Rank_w,Rank_diff,PlayerId,PlayerName,Position,PlusMinus,PlusMinus_w
395,207,188,8467493,"Chris Neil",R,-1,1.431
589,208,381,8475167,"Victor Hedman",D,-4,1.429
138,209,-71,8469581,"Kyle Wellwood",C,6,1.428
78,210,-132,8474590,"John Carlson",D,11,1.411
396,211,185,8473994,"Jamie Benn",L,-1,1.409
158,212,-54,8460580,"Brad Lukowich",D,5,1.398
191,213,-22,8470798,"Dylan Reese",D,4,1.394
219,214,5,8470920,"David Clarkson",R,3,1.363
735,215,520,8458517,"Scott Niedermayer",D,-9,1.357
159,216,-57,8466393,"Pascal Dupuis",R,5,1.347
53,217,-164,8469639,"Brooks Laich",C,14,1.346
590,218,372,8467917,"Jordan Leopold",D,-4,1.331
220,219,1,8474096,"Nick Spaling",C,3,1.3
192,220,-28,8470685,"Alexander Sulzer",D,4,1.291
343,221,122,8471664,"Mason Raymond",L,0,1.289
623,222,401,8473534,"Patrik Berglund",C,-5,1.286
468,223,245,8474091,"Brandon Sutter",C,-2,1.28
221,224,-3,8474573,"Josh Bailey",L,3,1.262
624,225,399,8473564,"Michael Frolik",R,-5,1.262
122,226,-104,8465122,"Brett Clark",D,7,1.261
139,227,-88,8471450,"Brandon Yip",R,6,1.261
105,228,-123,8459534,"Miroslav Satan",R,8,1.258
193,229,-36,8467439,"Jaroslav Spacek",D,4,1.243
536,230,306,8468704,"Antti Miettinen",R,-3,1.243
251,231,20,8466158,"Scott Hannan",D,2,1.224
469,232,237,8469707,"Pierre-Alexandre Parenteau",R,-2,1.206
287,233,54,8468611,"Matt Hendricks",L,1,1.201
160,234,-74,8462118,"Marc Savard",C,5,1.162
222,235,-13,8471419,"Mark Mancari",R,3,1.156
194,236,-42,8473571,"Jamie McBain",D,4,1.139
397,237,160,8466251,"Jason Chimera",L,-1,1.127
223,238,-15,8467977,"Brian McGrattan",R,3,1.125
288,240,48,8474707,"Philip Larsen",D,1,1.113
537,239,298,8475381,"Mika Pyorala",C,-3,1.113
398,241,157,8474498,"Jesse Winchester",C,-1,1.105
289,242,47,8471978,"Brett Festerling",D,1,1.091
19,243,-224,8459424,"Chris Pronger",D,22,1.072
106,244,-138,8460770,"Kim Johnsson",D,8,1.069
224,245,-21,8460533,"Dave Scatchard",C,3,1.037
290,246,44,8465050,"Eric Belanger",C,1,1.033
591,247,344,8468520,"Kurtis Foster",D,-4,1.029
140,248,-108,8466145,"Nick Boynton",D,6,1.02
195,249,-54,8471208,"Dustin Penner",R,4,0.979
225,250,-25,8468001,"Derek MacKenzie",C,3,0.97
141,251,-110,8459457,"Jamie Langenbrunner",R,6,0.964
344,252,92,8470617,"Mike Richards",C,0,0.952
470,253,217,8470905,"Randy Jones",D,-2,0.952
252,254,-2,8474189,"Lars Eller",C,2,0.942
655,255,400,8466333,"Andrew Ference",D,-6,0.922
399,256,143,8470603,"Andrei Kostitsyn",L,-1,0.919
196,257,-61,8474053,"Logan Couture",C,4,0.893
226,258,-32,8468086,"Alexandre Giroux",L,3,0.826
291,259,32,8473385,"Ville Koistinen",D,1,0.821
107,260,-153,8474218,"Jason Demers",D,8,0.815
471,262,209,8473914,"Mark Letestu",C,-2,0.739
656,261,395,8462225,"Filip Kuba",D,-6,0.739
253,263,-10,8469465,"Dan Hamhuis",D,2,0.735
254,264,-10,8473592,"Vladimir Zharkov",R,2,0.723
79,265,-186,8469759,"Vernon Fiddler",C,11,0.712
592,266,326,8471218,"Blake Wheeler",R,-4,0.689
161,267,-106,8474150,"Mikael Backlund",C,5,0.682
227,268,-41,8471245,"Dave Bolland",C,3,0.676
228,269,-41,8471859,"Sergei Kostitsyn",L,3,0.667
197,270,-73,8468095,"George Parros",R,4,0.641
198,271,-73,8464977,"Dainius Zubrus",L,4,0.639
199,272,-73,8469483,"David Steckel",C,4,0.631
